/var/spool/slurm-llnl/slurmd/job2259374/slurm_script: line 20: cd: /home/lgpu0417/deep-learning/assignment_2/part1/: Permission denied
 ------ Job mlp_pytorch is started ------- 
 
Training RNN
[2019-05-04 12:53] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 428.15, Accuracy = 0.08, Loss = 17.013
[2019-05-04 12:53] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 22888.43, Accuracy = 0.13, Loss = 11.895
[2019-05-04 12:53] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 19100.97, Accuracy = 0.14, Loss = 9.626
[2019-05-04 12:53] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 20112.80, Accuracy = 0.20, Loss = 8.562
[2019-05-04 12:53] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 19510.52, Accuracy = 0.12, Loss = 9.012
[2019-05-04 12:53] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 21069.46, Accuracy = 0.19, Loss = 9.032
[2019-05-04 12:53] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 21169.15, Accuracy = 0.13, Loss = 8.693
[2019-05-04 12:53] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 20182.36, Accuracy = 0.19, Loss = 6.972
[2019-05-04 12:53] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 20121.09, Accuracy = 0.23, Loss = 6.833
[2019-05-04 12:53] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 19622.47, Accuracy = 0.24, Loss = 7.831
[2019-05-04 12:53] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 19065.02, Accuracy = 0.17, Loss = 8.169
[2019-05-04 12:53] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 22597.48, Accuracy = 0.17, Loss = 7.540
[2019-05-04 12:53] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 20447.55, Accuracy = 0.22, Loss = 6.602
[2019-05-04 12:53] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 19032.58, Accuracy = 0.26, Loss = 5.994
[2019-05-04 12:53] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 20483.44, Accuracy = 0.20, Loss = 6.472
[2019-05-04 12:53] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 22853.35, Accuracy = 0.23, Loss = 6.886
[2019-05-04 12:53] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 20021.29, Accuracy = 0.26, Loss = 6.078
[2019-05-04 12:53] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 21348.45, Accuracy = 0.23, Loss = 6.347
[2019-05-04 12:53] Train Step 0180/10000, Batch Size = 128, Examples/Sec = 20747.83, Accuracy = 0.18, Loss = 6.033
[2019-05-04 12:53] Train Step 0190/10000, Batch Size = 128, Examples/Sec = 20524.16, Accuracy = 0.27, Loss = 5.562
[2019-05-04 12:53] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 19786.64, Accuracy = 0.28, Loss = 5.891
[2019-05-04 12:53] Train Step 0210/10000, Batch Size = 128, Examples/Sec = 20164.92, Accuracy = 0.25, Loss = 6.038
[2019-05-04 12:53] Train Step 0220/10000, Batch Size = 128, Examples/Sec = 22117.12, Accuracy = 0.24, Loss = 5.695
[2019-05-04 12:53] Train Step 0230/10000, Batch Size = 128, Examples/Sec = 21813.38, Accuracy = 0.26, Loss = 5.723
[2019-05-04 12:53] Train Step 0240/10000, Batch Size = 128, Examples/Sec = 20227.22, Accuracy = 0.21, Loss = 5.676
[2019-05-04 12:53] Train Step 0250/10000, Batch Size = 128, Examples/Sec = 21450.81, Accuracy = 0.30, Loss = 4.990
