/var/spool/slurm-llnl/slurmd/job2259371/slurm_script: line 20: cd: /home/lgpu0417/deep-learning/assignment_2/part1/: Permission denied
 ------ Job mlp_pytorch is started ------- 
 
Training RNN
[2019-05-04 12:53] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 196.19, Accuracy = 0.12, Loss = 16.725
[2019-05-04 12:53] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 21548.96, Accuracy = 0.15, Loss = 12.100
[2019-05-04 12:53] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 21651.51, Accuracy = 0.09, Loss = 10.604
[2019-05-04 12:53] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 19758.97, Accuracy = 0.08, Loss = 10.876
[2019-05-04 12:53] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 21517.87, Accuracy = 0.13, Loss = 10.947
[2019-05-04 12:53] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 22904.05, Accuracy = 0.12, Loss = 9.872
[2019-05-04 12:53] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 20071.44, Accuracy = 0.12, Loss = 7.959
[2019-05-04 12:53] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 21426.84, Accuracy = 0.18, Loss = 7.839
[2019-05-04 12:53] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 23222.06, Accuracy = 0.19, Loss = 8.286
[2019-05-04 12:53] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 19053.52, Accuracy = 0.12, Loss = 8.151
[2019-05-04 12:53] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 19733.55, Accuracy = 0.14, Loss = 7.374
[2019-05-04 12:53] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 21291.73, Accuracy = 0.16, Loss = 7.855
[2019-05-04 12:53] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 22135.36, Accuracy = 0.23, Loss = 7.399
[2019-05-04 12:53] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 22753.59, Accuracy = 0.17, Loss = 8.288
[2019-05-04 12:53] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 20195.26, Accuracy = 0.18, Loss = 6.985
[2019-05-04 12:53] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 19683.63, Accuracy = 0.14, Loss = 7.245
[2019-05-04 12:53] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 19230.97, Accuracy = 0.21, Loss = 6.004
[2019-05-04 12:53] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 20925.74, Accuracy = 0.18, Loss = 6.816
[2019-05-04 12:53] Train Step 0180/10000, Batch Size = 128, Examples/Sec = 20024.28, Accuracy = 0.15, Loss = 6.735
[2019-05-04 12:53] Train Step 0190/10000, Batch Size = 128, Examples/Sec = 21303.56, Accuracy = 0.16, Loss = 7.166
[2019-05-04 12:53] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 22267.56, Accuracy = 0.16, Loss = 7.327
[2019-05-04 12:53] Train Step 0210/10000, Batch Size = 128, Examples/Sec = 23075.34, Accuracy = 0.16, Loss = 6.971
[2019-05-04 12:53] Train Step 0220/10000, Batch Size = 128, Examples/Sec = 19255.11, Accuracy = 0.16, Loss = 6.465
[2019-05-04 12:53] Train Step 0230/10000, Batch Size = 128, Examples/Sec = 20164.92, Accuracy = 0.14, Loss = 6.851
[2019-05-04 12:53] Train Step 0240/10000, Batch Size = 128, Examples/Sec = 22708.35, Accuracy = 0.23, Loss = 4.921
[2019-05-04 12:53] Train Step 0250/10000, Batch Size = 128, Examples/Sec = 21221.03, Accuracy = 0.20, Loss = 6.179
[2019-05-04 12:53] Train Step 0260/10000, Batch Size = 128, Examples/Sec = 20523.37, Accuracy = 0.27, Loss = 5.749
[2019-05-04 12:53] Train Step 0270/10000, Batch Size = 128, Examples/Sec = 19464.54, Accuracy = 0.17, Loss = 5.599
[2019-05-04 12:53] Train Step 0280/10000, Batch Size = 128, Examples/Sec = 21264.74, Accuracy = 0.24, Loss = 6.077
[2019-05-04 12:53] Train Step 0290/10000, Batch Size = 128, Examples/Sec = 22289.75, Accuracy = 0.23, Loss = 5.336
[2019-05-04 12:53] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 19863.51, Accuracy = 0.21, Loss = 5.282
[2019-05-04 12:53] Train Step 0310/10000, Batch Size = 128, Examples/Sec = 21816.04, Accuracy = 0.20, Loss = 5.500
[2019-05-04 12:53] Train Step 0320/10000, Batch Size = 128, Examples/Sec = 19790.29, Accuracy = 0.27, Loss = 4.836
[2019-05-04 12:53] Train Step 0330/10000, Batch Size = 128, Examples/Sec = 24099.79, Accuracy = 0.23, Loss = 5.174
[2019-05-04 12:53] Train Step 0340/10000, Batch Size = 128, Examples/Sec = 21675.11, Accuracy = 0.27, Loss = 5.133
[2019-05-04 12:53] Train Step 0350/10000, Batch Size = 128, Examples/Sec = 22536.77, Accuracy = 0.26, Loss = 4.965
[2019-05-04 12:53] Train Step 0360/10000, Batch Size = 128, Examples/Sec = 23044.64, Accuracy = 0.29, Loss = 5.086
[2019-05-04 12:53] Train Step 0370/10000, Batch Size = 128, Examples/Sec = 21888.08, Accuracy = 0.27, Loss = 5.494
[2019-05-04 12:53] Train Step 0380/10000, Batch Size = 128, Examples/Sec = 19278.62, Accuracy = 0.20, Loss = 4.811
[2019-05-04 12:53] Train Step 0390/10000, Batch Size = 128, Examples/Sec = 19677.13, Accuracy = 0.23, Loss = 5.117
[2019-05-04 12:53] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 19815.12, Accuracy = 0.18, Loss = 4.949
[2019-05-04 12:53] Train Step 0410/10000, Batch Size = 128, Examples/Sec = 22102.55, Accuracy = 0.24, Loss = 5.086
[2019-05-04 12:53] Train Step 0420/10000, Batch Size = 128, Examples/Sec = 19203.45, Accuracy = 0.23, Loss = 4.714
[2019-05-04 12:53] Train Step 0430/10000, Batch Size = 128, Examples/Sec = 20204.38, Accuracy = 0.27, Loss = 4.871
[2019-05-04 12:53] Train Step 0440/10000, Batch Size = 128, Examples/Sec = 19713.26, Accuracy = 0.26, Loss = 4.891
